"id"	"VerbLoc"	"LocID"	"Lat"	"Long"	"LatLongP"	"CoordProto"	"ElevMin"	"ElevMax"	"Country"	"CountryCod"	"Munici"	"Provin"
596	"BAUME LA FRAITE THOIRIA"	"FRAITE"	46,525	5,733889	0,001	"Georeferenced at site location"	531	531	"FRANCE"		"THOIRIA"	"JURA"
597	"BAUME LA FRAITE THOIRIA"	"FRAITE"	46,525	5,733889	0,001	"Georeferenced at site location"	531	531	"FRANCE"		"THOIRIA"	"JURA"
598	"BAUME LA FRAITE THOIRIA"	"FRAITE"	46,525	5,733889	0,001	"Georeferenced at site location"	531	531	"FRANCE"		"THOIRIA"	"JURA"
599	"GROTTE DE GOULE NOIRE"	"GOULENOI"	45,0736	5,4925	0,001	"Georeferenced at site location"	784	784	"FRANCE"		"RENCRUEL"	"ISERE"
600	"RESURGENCE DE LA GRANDE BAUME DANS LES PATURAGES A L ENTREE INDIQUE  ENTREE INTERDITE PRESENCE DE BOVINS"	"GRANBAUM"	47,04332	6,23755	0,001	"Georeferenced at site location"	375	375	"FRANCE"		"LODS"	"DOUBS"
601	"EN RIVE GAUCHE DE LA CUISANCE, PAS LOIN DE LA GRANDE SOURCE, SOUS FORME DE GRIFFONS, GRIFFONS 1 2 ET 3"	"GRANCUIS"	46,87901	5,81454	0,001	"Georeferenced at site location"	352	352	"FRANCE"		"LA CHATELAINE"	"JURA"
602	"SOURCE PRES DES GROTTES DE LA DOYE CORRESPOND AU RUISSEAU LE PLUS A DROITE GRIFFON 2"	"GROTDOYE"	46,78425	5,9821	0,001	"Georeferenced at site location"	728	728	"FRANCE"		"LES NANS"	"JURA"
603	"AU LIEU DIT LA GYPSERIE SOURCE CAPTEE AU NIVEAU DU RESERVOIR"	"GYPSERIE"	46,62433	6,03295	0,001	"Georeferenced at site location"	899	899	"FRANCE"		"FONCINE LE BAS"	"JURA"
604	"SOURCE HOMEDE"	"HOMEDE"	44,0769	3,06028	0,001	"Georeferenced at site location"	510	510	"FRANCE"		"MILAU"	"AVEYRON"
605	"A GAUCHE APRES LE PONT E L EST DE LADOYE A QUELQUES METRES DU RUISSEAU"	"LADOLIOU"	46,76062	5,68871	0,001	"Georeferenced at site location"	371	371	"FRANCE"		"LADOYE SUR SEILLE"	"JURA"
606	"A L AMONT DU CAPTAGE"	"LAFRACAP"	46,55464	5,81465	0,001	"Georeferenced at site location"	715	715	"FRANCE"		"LA FRASNEE"	"JURA"
607	"NERBIER JEURRE"	"NERBIER"	46,37222	5,712222	0,001	"Georeferenced at site location"	384	384	"FRANCE"		"JEURRE"	"JURA"
608	"GROTTE DU PILEY CLAIRVAUX LES LACS"	"PILEY"	46,55194	5,766389	0,001	"Georeferenced at site location"	616	616	"FRANCE"		"CLAIRVAUX LES LACS"	"JURA"
609	"SOURCE DE PLAINMONT RESURGENCE ANCIENNEMENT CAPTEE ECHANTILLONNAGE REALISE SUR UN GRIFFON EN RIVE DROITE SOUS UNE DALLE DU CAPTAGE"	"PLAINMON"	47,185741	6,515843	0,001	"Georeferenced at site location"	556	556	"FRANCE"		"LA SOMMETTE"	"DOUBS"
610	"SOURCE CAPTEE AU CROISEMENT DES ROUTES ENTRE DEUX MONTS ET LES PLANCHES EN MONTAGNE"	"PLANMONT"	46,64654	6,00922	0,001	"Georeferenced at site location"	754	754	"FRANCE"		"LES PLANCHES EN MONTAGNE"	"JURA"
611	"SOURCES DES PUCELLES 3 EMERGENCES LES 2 PLUS A L AMONT ECHANTILLONNEES LA 1E SOUS EBOULIS LA 2E SOUS UN PORCHE PROFONDEUR D EAU 2M GRIFFONS 1 ET 2"	"PUCELLES"	47,18621	6,61882	0,001	"Georeferenced at site location"	506	506	"FRANCE"		"LAVAL LE PRIEURE"	"DOUBS"
612	"RESURGENCE DU GYPS GRIFFONS EN RIVE GAUCHE GRIFFONS 1 2 ET 3"	"RESUGYPS"	46,9686	5,99459	0,001	"Georeferenced at site location"	426	426	"FRANCE"		"NANS SOUS SAINTE ANNE"	"DOUBS"
613	"GROTTE ROCHE RENCRUEL"	"ROCHE"	45,07167	5,4975	0,001	"Georeferenced at site location"	905	905	"FRANCE"		"RENCRUEL"	"ISERE"
614	"SOURCE DE DOUAY ARGIS"	"SCEDOUAY"	45,94194	5,485556	0,001	"Georeferenced at site location"	395	395	"FRANCE"		"ARGIS"	"AIN"
615	"SOURCE CAPTEE DE SCHLUMBERGER"	"SCHLUMBE"	46,79625	6,30442	0,001	"Georeferenced at site location"	903	903	"FRANCE"		"MALBUISSON"	"DOUBS"
616	"GROTTE DE LA SCIE SOUCIA"	"SCIE"	46,54917	5,760833	0,001	"Georeferenced at site location"	589	589	"FRANCE"		"SOUCIA"	"JURA"
617	"SUR LE SITE DE LA SOURCE DE LA LOUE CORRESPOND EN FAIT A LA SOURCE CARREE EN AVAL DE LA SOURCE DE LA LOUE"	"SOURLOUE"	47,011078	6,299437	0,001	"Georeferenced at site location"	610	610	"FRANCE"		"OUHANS"	"DOUBS"
618	"SOURCE DU VERNEAU EN DESSOUS DE LA GROTTE YVES"	"SOURYVES"	46,97871	6,00517	0,001	"Georeferenced at site location"	445	445	"FRANCE"		"NANS SOUS SAINTE ANNE"	"DOUBS"
619	"RESURGENCE DE LA VIS"	"VIS"	43,899937	3,482782	0,001	"Georeferenced at site location"	407	407	"FRANCE"		"VISSEC"	"GARD"
620	"SOURCE DES CENT FONTS CAUSSE DE LA SELLE"	"CENTFONT"	43,75944	3,623056	0,001	"Georeferenced at site location"	89	89	"FRANCE"		"CAUSSE DE LA SELLE"	"HERAULT"
621	"SOURCE HOMEDE"	"HOMEDE"	44,0769	3,06028	0,001	"Georeferenced at site location"	510	510	"FRANCE"		"MILAU"	"AVEYRON"
622	"GROTTE DE CORVEISSIAT"	"CORVEISS"	46,2429	5,48355	0,001	"Georeferenced at site location"	405	405	"FRANCE"		"CORVEISSIAT"	"AIN"
623	"BAUME LA FRAITE THOIRIA"	"FRAITE"	46,525	5,733889	0,001	"Georeferenced at site location"	531	531	"FRANCE"		"THOIRIA"	"JURA"
624	"KLUTERTQUELLE"	"KLUTERTQ"	51,3011	7,34775	0,001	"Georeferenced at site location"	186	186	"GERMANY"		"SCHWELM"	"NORDRHEIN WESTFALEN"
625	"KUCKELSHAUSER KLUTERT (A CAVE BELOW A SPORT RESORT)"	"KUCKELSH"	51,345973	7,443676	0,001	"Georeferenced at site location"	188	188	"GERMANY"		"WEHRINGHAUSEN"	"NORDRHEIN WESFALEN"
626	"ROTHOBORNPADER"	"ROTHOBOR"	51,71958	8,75516	0,001	"Georeferenced at site location"	140	140	"GERMANY"		"PADERBORN"	"NORDRHEIN-WESTFALEN"
627	"RUPPKAULE"	"RUPPKAUL"	50,68034	7,22071	0,001	"Georeferenced at site location"	182	182	"GERMANY"		"KONIGSWINTER"	"NORDRHEIN WESTFALEN"
628	"SCHONACHQUELLEN"	"SCHONACH"	47,8368	10,81768	0,001	"Georeferenced at site location"	770	770	"GERMANY"		"SCHWABSOIEN"	"BAVIERE"
629	"SPITZBERGER SUCHSTOLLEN"	"SPITZIGE"	51,82222	10,27028	0,001	"Georeferenced at site location"	453	453	"GERMANY"		"BAD GRUND"	"NIEDERSACHSEN"
630	"STEINBEEKESTOLLEN"	"STEINBEE"	52,24482	9,57047	0,001	"Georeferenced at site location"	213	213	"GERMANY"		"BRENBECK"	"NIEDERSACHSEN"
631	"KNEIPP ANLAGE BLAUBEUREN (CLOSE MAY BE THE SAME TO SITE CODE BLAUBEUR)"	"BLAUBEU1"	48,415514	9,792746	0,001	"Georeferenced at site location"	522	522	"GERMANY"		"BLAUBEUREN"	"BADEN WURTTEMBERG"
632	"RAMMELPLATZ QUELLE"	"RAMMELSP"	48,51722	9,349	0,001	"Georeferenced at site location"	506	506	"GERMANY"		"DETTINGEN AN DER ERMS"	"BADEN WURTTEMBERG"
633	"ZILLAS KELLER (PROBABLY A SPRING)"	"ZILLASKE"	49,48	6,83	0,001	"Georeferenced at site location"	308	308	"GERMANY"		"NUNKIRCHEN"	"SARRE"
634	"DIELENPADER"	"DIELENPA"	51,71999	8,75535	0,001	"Georeferenced at site location"	140	140	"GERMANY"		"PADERBORN"	"NORDRHEIN WESTFALEN"
635	"QUELLE IM GAILSBACH"	"GAILSBSP"	50,034113	7,737241	0,001	"Georeferenced at site location"	329	329	"GERMANY"		"MANUBACH"	"RHEINLAND PFALZ"
636	"GIPSMINN BEI GIRSTERKLAUS"	"GIRSTERK"	49,79076	6,49938	0,001	"Georeferenced at site location"	312	312	"LUXEMBOURG"		"GIRSTERKLAUS"	"ECHTERNACH"
637	"GIPSMINN BEI GIRSTERKLAUS"	"GIRSTERK"	49,79076	6,49938	0,001	"Georeferenced at site location"	312	312	"LUXEMBOURG"		"GIRSTERKLAUS"	"ECHTERNACH"
638	"LOWENSPRING"	"LOEWENSP"	51,29781	7,33882	0,001	"Georeferenced at site location"	191	191	"GERMANY"		"ENNEPETAL"	"NORDRHEIN WESTFALEN"
639	"MINIERE DOIHL"	"MINDOIHL"	49,53	5,85	0,001	"Georeferenced at site location"	394	394	"LUXEMBOURG"		"RODANGE"	"ESCH SUR ALZETTE"
640	"BERGWERK OBERACHERN (170402-19)"	"OBERACHE"	48,61353	8,0973	0,001	"Georeferenced at site location"	314	314	"GERMANY"		"OBERACHERN"	"BADEN WURTTEMBERG"
641	"INTERSTITIAL PFADCHENSGRABEN"	"PFADCHHY"	49,976669	7,714813	0,001	"Georeferenced at site location"	327	327	"GERMANY"		"RHEINBOLLEN"	"RHEINLAND PFALZ"
642	"UNTERE SCHONACHQUELLEN"	"SCHONASP"	47,83684	10,818	0,001	"Georeferenced at site location"	771	771	"GERMANY"		"SCHWABSOIEN"	"BAVIERE"
643	"QUELLE AM ZUCKERBERG"	"QUELZUCK"	51,29278	7,33647	0,001	"Georeferenced at site location"	235	235	"GERMANY"		"BERNINGHAUSEN"	"NORDRHEIN WESTFALEN"
644	"BUER VU FELLERICH WASH HOUSE FED BY A SPRING"	"FELLERIC"	49,685077	6,504369	0,001	"Georeferenced at site location"	243	243	"GERMANY"		"FELLERICH"	"RHEINLAND PFALZ"
645	"FONTAINE DES NOEUDS 1 (170423-13)"	"FTNOEUDS"	46,75398	5,6349	0,001	"Georeferenced at site location"	473	473	"FRANCE"		"CHATEAU CHALON"	"JURA"
646	"INTERSTITIAL 4 GULDENBACH"	"GULDENHY"	49,982573	7,702183	0,001	"Georeferenced at site location"	344	344	"GERMANY"		"RHEINBOLLEN"	"RHEINLAND PFALZ"
647	"HIRTENBACH QUELLE"	"HIRTENSP"	49,36188	7,658075	0,001	"Georeferenced at site location"	412	412	"GERMANY"		"KRICKENBACH"	"RHEINLAND PFALZ"
648	"LA MINE DU BOUT DU MONDE"	"BOUDUMON"	46,06599	4,55619	0,001	"Georeferenced at site location"	492	492	"FRANCE"		"LE PERREON"	"RHONE"
649	"LA MINE DU BOUT DU MONDE"	"BOUDUMON"	46,06599	4,55619	0,001	"Georeferenced at site location"	492	492	"FRANCE"		"LE PERREON"	"RHONE"
650	"SOURCE DE LASFONS"	"LASFONS2"	43,96844	3,55037	0,001	"Georeferenced at site location"	313	313	"FRANCE"		"MOLIERES CAVAILLAC"	"GARD"
651	"RIVIERE DE LA GROTTE D AZE"	"GROTTAZE"	46,43901	4,761276	0,001	"Georeferenced at site location"	252	252	"FRANCE"		"AZE"	"SAONE ET LOIRE"
652	"SOURCE DE SAINT MATERNE"	"STMATERN"	48,36593	7,62184	0,001	"Georeferenced at site location"	159	159	"FRANCE"		"SAND"	"BAS RHIN"
653	"LOUE PONT DE MONTBARREY"	"MONTBAR"	47,01111	5,629722	0,001	"Georeferenced at site location"	213	213	"FRANCE"		"MONTBARREY"	"JURA"
654	"RIVIERE DE LA GROTTE D AZE"	"GROTTAZE"	46,43901	4,761276	0,001	"Georeferenced at site location"	252	252	"FRANCE"		"AZE"	"SAONE ET LOIRE"
655	"SOURCE KR KRAUTLANDERGRABEN"	"ROSSFELD"	48,3339	7,63116	0,001	"Georeferenced at site location"	155	155	"FRANCE"		"ROSSFELD"	"BAS RHIN"
657	"LOUE PONT DE MONTBARREY"	"MONTBAR"	47,01111	5,629722	0,001	"Georeferenced at site location"	213	213	"FRANCE"		"MONTBARREY"	"JURA"
658	"SOURCE KR KRAUTLANDERGRABEN"	"ROSSFELD"	48,3339	7,63116	0,001	"Georeferenced at site location"	155	155	"FRANCE"		"ROSSFELD"	"BAS RHIN"
659	"RIVIERE SOUTERRAINE DE BEZE GROTTE DE LA CRETANNE"	"BEZE"	47,4708	5,26935	0,001	"Georeferenced at site location"	225	225	"FRANCE"		"BEZE"	"COTE D OR"
660	"LA BORNE AUX CASSOT A NEVY SUR SEILLE"	"BORCASSO"	46,73667	5,642222	0,001	"Georeferenced at site location"	355	355	"FRANCE"		"NEVY SUR SEILLE"	"JURA"
661	"BAUME LA FRAITE THOIRIA"	"FRAITE"	46,525	5,733889	0,001	"Georeferenced at site location"	531	531	"FRANCE"		"THOIRIA"	"JURA"
662	"BAUME LA FRAITE THOIRIA"	"FRAITE"	46,525	5,733889	0,001	"Georeferenced at site location"	531	531	"FRANCE"		"THOIRIA"	"JURA"
663	"BAUME LA FRAITE THOIRIA"	"FRAITE"	46,525	5,733889	0,001	"Georeferenced at site location"	531	531	"FRANCE"		"THOIRIA"	"JURA"
664	"GALERIE SOUTERRAINE KARSTIQUE DE SAUVE"	"SAUVEGAR"	43,94056	3,95	0,001	"Georeferenced at site location"	97	97	"FRANCE"		"SAUVE"	"GARD"
665	"BAUME LA FRAITE THOIRIA"	"FRAITE"	46,525	5,733889	0,001	"Georeferenced at site location"	531	531	"FRANCE"		"THOIRIA"	"JURA"
666	"NAPPE SOUS FLUVIALE DE L ALBARINE"	"ALBARIHY"	45,92062	5,40278	0,100	"Nearest locality"			"FRANCE"		"TORCIEU"	"AIN"
667	"PUITS PRES D ASCHAFFENBURG DANS LA VALLEE DU MAIN (TROIS PUITS)"	"ASCHAFFE"	49,973	9,14898	0,100	"Nearest locality"			"GERMANY"		"ASCHAFFENBURG"	"BAVIERE"
668	"NAPPE PHREATIQUE A BAD LANGENSALZA"	"BADLANGE"	51,10669	10,64938	0,100	"Nearest locality"			"GERMANY"		"BAD LANGENSALZA"	"THURINGE"
669	"MARE D EAU DANS UN SOUTERRAIN MILITAIRE"	"BAMBIDER"	49,09992	6,59577	0,100	"Nearest locality"			"FRANCE"		"BAMBIDERSTROFF"	"MOSELLE"
670	"BATH STONE MINES, CORSHAM"	"BATHSTON"	51,4286	-2,28909	0,100	"Nearest locality"			"UNITED KINGDOM"		"DITTERIDGE"	"NORTH WILTSHIRE"
671	"BEATUSHOHLE"	"BEATUSHO"	46,68475	7,78176	0,001	"Georeferenced at site location"	690	690	"SWITZERLAND"		"BEATENBERG"	"BERN"
672	"BEATUSHOHLE"	"BEATUSHO"	46,68475	7,78176	0,001	"Georeferenced at site location"	690	690	"SWITZERLAND"		"BEATENBERG"	"BERN"
673	"BELMONT NAPPES ALLUVIALE ET SOUS ALLUVIALE DE LA LOUE"	"BELMONAL"	47,01547	5,59509	0,100	"Nearest locality"			"FRANCE"		"BELMONT"	"JURA"
674	"RIVIERE SOUTERRAINE DE BEZE GROTTE DE LA CRETANNE"	"BEZE"	47,4708	5,26935	0,001	"Georeferenced at site location"	225	225	"FRANCE"		"BEZE"	"COTE D OR"
675	"PUITS A BIENNE"	"BIENNEWE"	47,14339	7,24875	0,100	"Nearest locality"			"SWITZERLAND"		"BIENNE"	"BERN"
676	"CONDUITES D EAU DE NANCY. RESERVOIR DE BOUDONVILLE"	"BOUDONVI"	48,68943	6,17607	0,100	"Nearest locality"			"FRANCE"		"NANCY"	"MEURTHE ET MOSELLE"
677	"GROTTE DE BOURNILLON"	"BOURNILL"	45,05631	5,43386	0,001	"Georeferenced at site location"	536	536	"FRANCE"		"CHATELUS"	"ISERE"
678	"GROTTE DE VERS CHEZ LE BRANDT"	"BRANDTCA"	46,93773	6,47229	0,001	"Georeferenced at site location"	1160	1160	"SWITZERLAND"		"LES VERRIERES"	"NEUCHATEL"
679	"GROTTE DE VERS CHEZ LE BRANDT"	"BRANDTCA"	46,93773	6,47229	0,001	"Georeferenced at site location"	1160	1160	"SWITZERLAND"		"LES VERRIERES"	"NEUCHATEL"
680	"PUITS A LAUTERBACH (BREGENZ VORARLBERG)"	"BREGENZW"	47,50304	9,74707	0,100	"Nearest locality"			"AUSTRIA"		"BREGENZ"	"VORARLBERG"
681	"LAC DES QUATRE CANTONS (DRAGAGE EFFECTUE A 200 M DE PROFONDEUR)"	"CANTONLA"	46,98468	8,33124	0,100	"Nearest locality"			"SWITZERLAND"		"STANS"	"UNTERWALDEN"
682	"SOURCE DES CENT FONTS CAUSSE DE LA SELLE"	"CENTFONT"	43,75944	3,623056	0,001	"Georeferenced at site location"	89	89	"FRANCE"		"CAUSSE DE LA SELLE"	"HERAULT"
683	"SBR CERNON. 2KM AMONT DE NOUZET"	"CERNONHY"	44,00861	2,98307	0,100	"Nearest locality"			"FRANCE"		"SAINT ROME DE CERNON"	"AVEYRON"
684	"LOUE PONT DE CHAMBLAY"	"CHAMBLAY"	47,00278	5,703611	0,001	"Georeferenced at site location"	222	222	"FRANCE"		"CHAMBLAY"	"JURA"
685	"CHAPPELI HOHLE"	"CHAPPELI"	47,12	9,44	0,100	"Nearest locality"			"SWITZERLAND"		"WARTAU"	"SAINT GALL"
686	"GROTTE CORBEL A LA FRONTIERE FRANCO BELGE"	"CORBELCA"	50,11	4,74167	0,100	"Nearest locality"			"BELGIUM"		"VAUCELLES"	"NAMUR"
687	"GROTTE DU CORMORAN"	"CORMORAN"	45,90897	5,40717	0,001	"Georeferenced at site location"	526	526	"FRANCE"		"TORCIEU"	"AIN"
688	"GROTTE DE CORVEISSIAT"	"CORVEISS"	46,2429	5,48355	0,001	"Georeferenced at site location"	405	405	"FRANCE"		"CORVEISSIAT"	"AIN"
689	"MOULIN DE CRAMANS LEYSSARD"	"CRAMANS"	46,13556	5,476111	0,001	"Georeferenced at site location"	611	611	"FRANCE"		"CHALLES LA MONTAGNE"	"AIN"
690	"GROTTE DE LA FONTAINE DE CREUSE"	"CREUSECA"	47,38921	6,85441	0,100	"Nearest locality"			"FRANCE"		"BLAMONT"	"DOUBS"
691	"DAN YR OGOF"	"DANYROGO"	51,83046	-3,68744	0,001	"Georeferenced at site location"	259	259	"UNITED KINGDOM"		"CRAIG Y NOS"	"BRECONSHIRE"
692	"DAN YR OGOF"	"DANYROGO"	51,83046	-3,68744	0,001	"Georeferenced at site location"	259	259	"UNITED KINGDOM"		"CRAIG Y NOS"	"BRECONSHIRE"
693	"DARTFORD, 1.5 MILES SW OF WILMINGTON"	"DARTFORI"	51,40913	0,15539	0,100	"Nearest locality"			"UNITED KINGDOM"		"SWANLEY"	"WEST KENT"
694	"NAPPE SOUS FLUVIALE DU DOURDOU"	"DOURDOAL"	43,97036	2,70255	0,100	"Nearest locality"			"FRANCE"		"SAINT IZAIRE"	"AVEYRON"
695	"NAPPE ALLUVIALE DE LA DURANCE"	"DURANCAL"	43,74465	5,08597	0,100	"Nearest locality"			"FRANCE"		"SENAS"	"BOUCHES DU RHONE"
696	"SOURCE DE L ENRAGE"	"ENRAGESP"	46,35883	5,77096	0,001	"Georeferenced at site location"	354	354	"FRANCE"		"MOLINGES"	"JURA"
697	"ETRETAT. RESURGENCES D EAU DOUCE DANS LA ZONE INTERDIDALE"	"ETRETATP"	49,70394	0,20527	0,100	"Nearest locality"			"FRANCE"		"ETRETAT"	"SEINE MARITIME"
698	"PUITS TUBE A EYSDEN (LIMBOURG)"	"EYSDENWE"	50,7831	5,70298	0,100	"Nearest locality"			"NETHERLANDS"		"EIJSDEN"	"LIMBOURG"
699	"MINE DE FAULX"	"FAULXMIN"	48,65723	6,05687	0,100	"Nearest locality"			"FRANCE"		"MARON"	"MEURTHE ET MOSELLE"
700	"GROTTE DE FAUSTLOCH"	"FAUSTLOC"	46,7286	7,86711	0,100	"Nearest locality"			"SWITZERLAND"		"HABKERN"	"BERNE"
701	"SOURCE FONT FIOLE AU MONT VENTOUX"	"FONTFIOL"	44,20585	5,26976	0,100	"Nearest locality"			"FRANCE"		"SAINT LEGER DU VENTOUX"	"VAUCLUSE"
702	"LA FOUX DE POMPIGNAN"	"FOPOMPIG"	43,89558	3,85956	0,100	"Nearest locality"			"FRANCE"		"POMPIGNAN"	"GARD"
703	"GROTTE RESURGENCES DES FORGES"	"FORGESSP"	46,43874	5,73681	0,100	"Nearest locality"			"FRANCE"		"MOIRANS EN MONTAGNE"	"JURA"
704	"GITZILOCH (GROTTE) FLAQUES PERMANENTES"	"GITZILOC"	47,2486	7,34101	0,001	"Georeferenced at site location"	900	900	"SWITZERLAND"		"COURT"	"BERNE"
705	"SOURCE A GORZE"	"GORZESOU"	49,05784	5,99129	0,100	"Nearest locality"			"FRANCE"		"GORZE"	"MOSELLE"
706	"GROTTE DE GOULE NOIRE"	"GOULENOI"	45,0736	5,4925	0,001	"Georeferenced at site location"	784	784	"FRANCE"		"RENCRUEL"	"ISERE"
707	"SBR GRAVIERE DU TARN"	"GRATARNH"	44,0325	2,88988	0,100	"Nearest locality"			"FRANCE"		"SAINT ROME DE TARN"	"AVEYRON"
708	"RIVIERE DE LA GROTTE D AZE"	"GROTTAZE"	46,43901	4,761276	0,001	"Georeferenced at site location"	252	252	"FRANCE"		"AZE"	"SAONE ET LOIRE"
709	"MINES DANS LE MASSIF SCHISTEUX DU HARZ"	"HARZMINE"	51,76026	10,31353	0,100	"Nearest locality"			"GERMANY"		"LERBACH"	"BASSE SAXE"
710	"HILGENHAUSER HOLE (HESSEN NASSAU)"	"HILGENHA"	50,18915	8,47855	1,000	"Nearest locality"			"GERMANY"		"INCONNU"	"HESSE"
711	"GROTTE DU HOLLOCH"	"HOLLOCHC"	46,97651	8,78869	0,001	"Georeferenced at site location"	740	740	"SWITZERLAND"		"MUOTALTHAL"	"SCHWYZ"
712	"GROTTE DU HOLLOCH"	"HOLLOCHC"	46,97651	8,78869	0,001	"Georeferenced at site location"	740	740	"SWITZERLAND"		"MUOTALTHAL"	"SCHWYZ"
713	"GROTTE DU HOLLOCH"	"HOLLOCHC"	46,97651	8,78869	0,001	"Georeferenced at site location"	740	740	"SWITZERLAND"		"MUOTALTHAL"	"SCHWYZ"
714	"GROTTE DE HOTTON"	"HOTTONCA"	50,2599	5,45759	0,001	"Georeferenced at site location"	260	260	"BELGIUM"		"HOTTON"	"LUXEMBOURG"
715	"GROTTE DE GOURNIER"	"IGOURNIE"	45,07711	5,39517	0,001	"Georeferenced at site location"	572	572	"FRANCE"		"CHORANCHE"	"ISERE"
716	"NAPPE ALLUVIALE DE LA JEEKER (MAASTRICHT LIMBOURG)"	"JEEKERAL"	50,8387	5,68835	0,100	"Nearest locality"			"NETHERLANDS"		"MAASTRICHT"	"LIMBOURG"
717	"FONTAINE DE JOUVENCE"	"JOUVENCE"	47,41572	4,97723	0,001	"Georeferenced at site location"	344	344	"FRANCE"		"MESSIGNY ET VANTOUX"	"COTE D OR"
718	"GROTTE JULIO"	"JULIOCA"	43,53975	2,91724	0,100	"Nearest locality"			"FRANCE"		"OLARGUES"	"HERAULT"
719	"KLEINHOHLE"	"KLEINHOH"	47,05644	7,62699	0,100	"Nearest locality"			"SWITZERLAND"		"BURGDORF"	"BERN"
720	"KLUTERTHOHLE"	"KLUTERTH"	51,29955	7,35464	0,001	"Georeferenced at site location"	203	203	"GERMANY"		"SCHWELM"	"NORDRHEIN WESTFALEN"
721	"KRISTALLHOHLE"	"KRISTALL"	47,32288	9,53428	0,001	"Georeferenced at site location"	620	620	"SWITZERLAND"		"OBERRIET"	"SAINT GALL"
722	"KRISTALLHOHLE"	"KRISTALL"	47,32288	9,53428	0,001	"Georeferenced at site location"	620	620	"SWITZERLAND"		"OBERRIET"	"SAINT GALL"
723	"LAUILOCH CAVE"	"LAUILOCH"	46,991856	8,716512	0,001	"Georeferenced at site location"	970	970	"SWITZERLAND"		"MUOTATHAL"	"SCHWYZ"
724	"LAUILOCH CAVE"	"LAUILOCH"	46,991856	8,716512	0,001	"Georeferenced at site location"	970	970	"SWITZERLAND"		"MUOTATHAL"	"SCHWYZ"
725	"LAUILOCH CAVE"	"LAUILOCH"	46,991856	8,716512	0,001	"Georeferenced at site location"	970	970	"SWITZERLAND"		"MUOTATHAL"	"SCHWYZ"
726	"SIX PUITS TUBES DANS LA NAPPE ALLUVIALE DE LA LEINE ET SOURCE"	"LEINEWEL"	52,08478	9,77468	1,000	"Nearest locality"			"GERMANY"		"GRONAU"	"BASSE SAXE"
727	"LAC LEMAN (DRAGAGE DEVANT MORGES ENTRE 100 ET 200 M DE PROFONDEUR)"	"LEMANLA"	46,5111	6,49996	0,100	"Nearest locality"			"SWITZERLAND"		"MORGES"	"VAUD"
728	"MINE DE MOUTIERS"	"MOUTIEMI"	49,25433	6,03685	0,100	"Nearest locality"			"FRANCE"		"MOYEUVRE GRANDE"	"MOSELLE"
729	"OGOF FFYNNON DDU GLYNTAWE"	"OGOF"	51,82441	-3,67296	0,001	"Georeferenced at site location"	216	216	"UNITED KINGDOM"		"GLYNTAWE"	"BRECONSHIRE"
730	"OGOF FFYNNON DDU GLYNTAWE"	"OGOF"	51,82441	-3,67296	0,001	"Georeferenced at site location"	216	216	"UNITED KINGDOM"		"GLYNTAWE"	"BRECONSHIRE"
731	"OGOF RHYD SYCH, VAYNOR"	"OGOFVAYN"	51,78227	-3,39134	0,001	"Georeferenced at site location"	291	291	"UNITED KINGDOM"		"PONTSARN"	"BRECONSHIRE"
732	"PUITS MACONNES DANS LES ALLUVIONS DE LA RIVI├êRE OKER"	"OKERWELL"	52,2641	10,52638	0,100	"Nearest locality"			"GERMANY"		"BRUNSWICK"	"BASSE SAXE"
733	"NAPPE SOUS FLUVIALE DE L ORB"	"ORBNAPPE"	43,80923	3,09129	0,100	"Nearest locality"			"FRANCE"		"CEILHES ET ROCOZELS"	"HERAULT"
734	"MINE ORNE PAULINE"	"ORNEPAUL"	49,21805	6,02569	0,100	"Nearest locality"			"FRANCE"		"MONTOIS LA MONTAGNE"	"MOSELLE"
735	"OTTER HOLE, NEAR CHEPSTOW"	"OTTERHOC"	51,66207	-2,68701	0,001	"Georeferenced at site location"	36	36	"UNITED KINGDOM"		"ST ARVANS"	"MONMOUTHSHIRE"
736	"MINE DE PLOMB DU PERREON"	"PERREOMI"	46,06874	4,57947	0,100	"Nearest locality"			"FRANCE"		"LE PERREON"	"RHONE"
737	"GROTTE DE PERTUIS"	"PERTUISC"	45,74404	5,53568	0,100	"Nearest locality"			"FRANCE"		"LHUIS"	"AIN"
738	"GROTTE DU PISSOIR"	"PISSOIRC"	45,91857	5,41055	0,001	"Georeferenced at site location"	325	325	"FRANCE"		"TORCIEU"	"AIN"
739	"GOUFFRE DE POURPEVELLE"	"POURPEVE"	47,45946	6,48396	0,001	"Georeferenced at site location"	403	403	"FRANCE"		"SOYE"	"DOUBS"
740	"PTD7: PUITS TUBE AU BORD DE LA DURANCE"	"PTD7SENA"	43,74465	5,08597	0,100	"Nearest locality"			"FRANCE"		"SENAS"	"BOUCHES DU RHONE"
741	"PUITS BLANC"	"PTSBLANC"	46,40549	5,73473	0,100	"Nearest locality"			"FRANCE"		"VILLARDS D HERIA"	"JURA"
742	"MINE DE PULVENTEUX"	"PULVENTE"	49,54614	5,77885	0,100	"Nearest locality"			"FRANCE"		"MONT SAINT MARTIN"	"MEURTHE ET MOSELLE"
743	"SOUS ECOULEMENT AU BIEF RAVINET"	"RAVINETB"	45,92062	5,40278	0,100	"Nearest locality"			"FRANCE"		"TORCIEU"	"AIN"
